KO_ID	KO_name	KO_def	module_IDs	module_defs	pathway_IDs	pathway_defs
K00140	mmsA, iolA, ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	map00280; map00410; map00562; map00640; map01100; map01200	Valine, leucine and isoleucine degradation; beta-Alanine metabolism; Inositol phosphate metabolism; Propanoate metabolism; Metabolic pathways; Carbon metabolism
K00141	xylC	benzaldehyde dehydrogenase (NAD)	M00537; M00538	Xylene degradation, xylene => methylbenzoate; Toluene degradation, toluene => benzoate	map00622; map00623; map00627; map01100; map01120; map01220	Xylene degradation; Toluene degradation; Aminobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase	M00028; M00845	Ornithine biosynthesis, glutamate => ornithine; Arginine biosynthesis, glutamate => acetylcitrulline => arginine	map00220; map01100; map01110; map01210; map01230	Arginine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
K00146	feaB, tynC	phenylacetaldehyde dehydrogenase			map00350; map00360; map00643; map01100; map01120	Tyrosine metabolism; Phenylalanine metabolism; Styrene degradation; Metabolic pathways; Microbial metabolism in diverse environments
K00147	proA	glutamate-5-semialdehyde dehydrogenase	M00015	Proline biosynthesis, glutamate => proline	map00330; map00332; map01100; map01110; map01230	Arginine and proline metabolism; Carbapenem biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase			map00625; map00680; map01100; map01120; map01200	Chloroalkane and chloroalkene degradation; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00149	ALDH9A1	aldehyde dehydrogenase family 9 member A1	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00010; map00053; map00071; map00280; map00310; map00330; map00340; map00380; map00410; map00561; map00620; map01100; map01110; map01120	Glycolysis / Gluconeogenesis; Ascorbate and aldarate metabolism; Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; beta-Alanine metabolism; Glycerolipid metabolism; Pyruvate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))	M00001; M00002; M00003; M00165; M00166	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate; Glycolysis, core module involving three-carbon compounds; Gluconeogenesis, oxaloacetate => fructose-6P; Reductive pentose phosphate cycle (Calvin cycle); Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	map00010; map00710; map01100; map01110; map01120; map01200; map01230	Glycolysis / Gluconeogenesis; Carbon fixation in photosynthetic organisms; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids
K00151	hpaE, hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase	M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	map00350; map01100; map01120; map01220	Tyrosine metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K00153	E1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase				
K00154	E1.2.1.68	coniferyl-aldehyde dehydrogenase				
K00156	poxB	pyruvate dehydrogenase (quinone)			map00620; map01100	Pyruvate metabolism; Metabolic pathways
K00158	E1.2.3.3, poxL	pyruvate oxidase			map00620; map01100	Pyruvate metabolism; Metabolic pathways
K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	map00010; map00020; map00620; map01100; map01110; map01120; map01200; map04066; map04922; map05230; map05415	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; HIF-1 signaling pathway; Glucagon signaling pathway; Central carbon metabolism in cancer; Diabetic cardiomyopathy
K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	map00010; map00020; map00620; map01100; map01110; map01120; map01200; map04066; map04922; map05230; map05415	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; HIF-1 signaling pathway; Glucagon signaling pathway; Central carbon metabolism in cancer; Diabetic cardiomyopathy
K00163	aceE	pyruvate dehydrogenase E1 component	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	map00010; map00020; map00620; map01100; map01110; map01120; map01200	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component	M00009; M00011	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map00020; map01100; map01110; map01120; map01200	Citrate cycle (TCA cycle); Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00166	BCKDHA, bkdA1	2-oxoisovalerate dehydrogenase E1 component alpha subunit	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	map00280; map00640; map01100; map01110	Valine, leucine and isoleucine degradation; Propanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K00167	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component beta subunit	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	map00280; map00640; map01100; map01110	Valine, leucine and isoleucine degradation; Propanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit	M00173; M00307; M00374; M00620	Reductive citrate cycle (Arnon-Buchanan cycle); Pyruvate oxidation, pyruvate => acetyl-CoA; Dicarboxylate-hydroxybutyrate cycle; Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00010; map00020; map00620; map00633; map00640; map00650; map00680; map00720; map01100; map01110; map01120; map01200	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Nitrotoluene degradation; Propanoate metabolism; Butanoate metabolism; Methane metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit	M00173; M00307; M00374; M00620	Reductive citrate cycle (Arnon-Buchanan cycle); Pyruvate oxidation, pyruvate => acetyl-CoA; Dicarboxylate-hydroxybutyrate cycle; Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00010; map00020; map00620; map00633; map00640; map00650; map00680; map00720; map01100; map01110; map01120; map01200	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Nitrotoluene degradation; Propanoate metabolism; Butanoate metabolism; Methane metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit	M00173; M00307; M00374; M00620	Reductive citrate cycle (Arnon-Buchanan cycle); Pyruvate oxidation, pyruvate => acetyl-CoA; Dicarboxylate-hydroxybutyrate cycle; Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00010; map00020; map00620; map00633; map00640; map00650; map00680; map00720; map01100; map01110; map01120; map01200	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Nitrotoluene degradation; Propanoate metabolism; Butanoate metabolism; Methane metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00172	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit	M00173; M00307; M00374; M00620	Reductive citrate cycle (Arnon-Buchanan cycle); Pyruvate oxidation, pyruvate => acetyl-CoA; Dicarboxylate-hydroxybutyrate cycle; Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00010; map00020; map00620; map00633; map00640; map00650; map00680; map00720; map01100; map01110; map01120; map01200	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Nitrotoluene degradation; Propanoate metabolism; Butanoate metabolism; Methane metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	M00009; M00011; M00173; M00620	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Reductive citrate cycle (Arnon-Buchanan cycle); Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00010; map00020; map00620; map00650; map00720; map01100; map01110; map01120; map01200	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	M00009; M00011; M00173; M00620	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Reductive citrate cycle (Arnon-Buchanan cycle); Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00010; map00020; map00620; map00650; map00720; map01100; map01110; map01120; map01200	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Butanoate metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta	M00009; M00011; M00173; M00620	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Reductive citrate cycle (Arnon-Buchanan cycle); Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00020; map00720; map01100; map01110; map01120; map01200	Citrate cycle (TCA cycle); Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma	M00009; M00011; M00173; M00620	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Reductive citrate cycle (Arnon-Buchanan cycle); Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00020; map00720; map01100; map01110; map01120; map01200	Citrate cycle (TCA cycle); Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00179	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit				
K00180	iorB	indolepyruvate ferredoxin oxidoreductase, beta subunit				
K00185	dmsC	dimethyl sulfoxide reductase membrane subunit			map00920; map01100	Sulfur metabolism; Metabolic pathways
K00186	vorA	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit			map00280; map01100	Valine, leucine and isoleucine degradation; Metabolic pathways
K00187	vorB	2-oxoisovalerate ferredoxin oxidoreductase beta subunit			map00280; map01100	Valine, leucine and isoleucine degradation; Metabolic pathways
K00188	vorD	2-oxoisovalerate ferredoxin oxidoreductase delta subunit			map00280; map01100	Valine, leucine and isoleucine degradation; Metabolic pathways
K00192	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha	M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	map00680; map01100; map01120; map01200	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00194	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta	M00357; M00377; M00422	Methanogenesis, acetate => methane; Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway); Acetyl-CoA pathway, CO2 => acetyl-CoA	map00680; map00720; map01100; map01120; map01200	Methane metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00195	cdhB	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon	M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	map00680; map01100; map01120; map01200	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit			map00633; map00680; map00720; map01100; map01120; map01200	Nitrotoluene degradation; Methane metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00197	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma	M00357; M00377; M00422	Methanogenesis, acetate => methane; Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway); Acetyl-CoA pathway, CO2 => acetyl-CoA	map00680; map00720; map01100; map01120; map01200	Methane metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00198	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	map00633; map00680; map00720; map01100; map01120; map01200	Nitrotoluene degradation; Methane metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00200	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A	M00567	Methanogenesis, CO2 => methane	map00680; map01100; map01120; map01200	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00201	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B	M00567	Methanogenesis, CO2 => methane	map00680; map01100; map01120; map01200	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00202	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C	M00567	Methanogenesis, CO2 => methane	map00680; map01100; map01120; map01200	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00203	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D	M00567	Methanogenesis, CO2 => methane	map00680; map01100; map01120; map01200	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
